imple,N,M,K,net,vect-net,mat-build,LS-solve,loss-trace,GD-step,total
ultraweak,2,10,20,1.72e+08,1.72e+08,1.02e+04,7.67e+03,1.72e+08,3.54e+08,6.97e+08
ultraweak,4,20,40,3.43e+08,3.43e+08,4.03e+04,8.50e+03,3.43e+08,6.91e+08,1.38e+09
ultraweak,8,40,80,6.87e+08,6.87e+08,1.87e+05,1.41e+04,6.87e+08,1.37e+09,2.74e+09
ultraweak,16,80,160,1.38e+09,1.38e+09,9.61e+05,5.50e+04,1.38e+09,2.72e+09,5.48e+09
ultraweak,32,160,320,2.77e+09,2.77e+09,5.64e+06,3.70e+05,2.77e+09,5.45e+09,1.10e+10
ultraweak,64,320,640,5.57e+09,5.57e+09,3.54e+07,2.89e+06,5.59e+09,1.10e+10,2.22e+10
ultraweak,128,640,1280,1.13e+10,1.13e+10,2.47e+08,2.27e+07,1.14e+10,2.23e+10,4.53e+10
ultraweak,256,1280,2560,2.33e+10,2.33e+10,1.83e+09,1.75e+08,2.36e+10,4.59e+10,9.50e+10
ultraweak,512,2560,5120,4.94e+10,4.94e+10,1.41e+10,1.40e+09,5.06e+10,9.72e+10,2.13e+11
weakfwd,2,10,20,1.72e+08,5.09e+08,1.03e+04,7.70e+03,5.09e+08,1.05e+09,2.07e+09
weakfwd,4,20,40,3.43e+08,1.02e+09,4.08e+04,8.53e+03,1.02e+09,2.06e+09,4.10e+09
weakfwd,8,40,80,6.87e+08,2.04e+09,1.88e+05,1.41e+04,2.04e+09,4.09e+09,8.17e+09
weakfwd,16,80,160,1.38e+09,4.09e+09,9.63e+05,5.50e+04,4.09e+09,8.15e+09,1.63e+10
weakfwd,32,160,320,2.77e+09,8.21e+09,5.64e+06,3.70e+05,8.22e+09,1.63e+10,3.28e+10
weakfwd,64,320,640,5.57e+09,1.65e+10,3.54e+07,2.89e+06,1.66e+10,3.29e+10,6.60e+10
weakfwd,128,640,1280,1.13e+10,3.36e+10,2.47e+08,2.27e+07,3.37e+10,6.68e+10,1.34e+11
weakfwd,256,1280,2560,2.33e+10,6.92e+10,1.83e+09,1.75e+08,6.95e+10,1.38e+11,2.79e+11
weakfwd,512,2560,5120,4.94e+10,1.47e+11,1.41e+10,1.40e+09,1.48e+11,2.92e+11,6.02e+11
weakbwd,2,10,20,1.72e+08,5.09e+08,1.03e+04,5.94e+03,3.40e+08,7.04e+08,1.55e+09
weakbwd,4,20,40,3.43e+08,1.70e+09,4.08e+04,6.77e+03,6.81e+08,1.38e+09,3.76e+09
weakbwd,8,40,80,6.87e+08,6.10e+09,1.88e+05,1.23e+04,1.36e+09,2.73e+09,1.02e+10
weakbwd,16,80,160,1.38e+09,2.31e+10,9.63e+05,5.33e+04,2.74e+09,5.44e+09,3.13e+10
weakbwd,32,160,320,2.77e+09,8.99e+10,5.64e+06,3.68e+05,5.49e+09,1.09e+10,1.06e+11
weakbwd,64,320,640,5.57e+09,3.57e+11,3.54e+07,2.89e+06,1.11e+10,2.19e+10,3.90e+11
weakbwd,128,640,1280,1.13e+10,1.44e+12,2.47e+08,2.27e+07,2.25e+10,4.46e+10,1.50e+12
weakbwd,256,1280,2560,2.33e+10,5.90e+12,1.83e+09,1.75e+08,4.66e+10,9.18e+10,6.04e+12
weakbwd,512,2560,5120,4.94e+10,2.49e+13,1.41e+10,1.40e+09,9.92e+10,1.94e+11,2.53e+13
