imple,N,M,K,C=net/K,loss-trace/KC,GD-step/loss-trace,total/KC
ultraweak,2,10,20,8.58e+06,1.00e+00,2.06e+00,3.06e+00
ultraweak,4,20,40,8.58e+06,1.00e+00,2.01e+00,3.01e+00
ultraweak,8,40,80,8.59e+06,1.00e+00,1.99e+00,2.99e+00
ultraweak,16,80,160,8.61e+06,1.00e+00,1.97e+00,2.98e+00
ultraweak,32,160,320,8.64e+06,1.00e+00,1.97e+00,2.97e+00
ultraweak,64,320,640,8.70e+06,1.00e+00,1.96e+00,2.97e+00
ultraweak,128,640,1280,8.84e+06,1.01e+00,1.96e+00,2.98e+00
ultraweak,256,1280,2560,9.11e+06,1.01e+00,1.94e+00,2.98e+00
ultraweak,512,2560,5120,9.64e+06,1.02e+00,1.92e+00,2.99e+00
weakfwd,2,10,20,8.58e+06,2.97e+00,2.06e+00,9.08e+00
weakfwd,4,20,40,8.58e+06,2.97e+00,2.02e+00,8.97e+00
weakfwd,8,40,80,8.59e+06,2.97e+00,2.00e+00,8.92e+00
weakfwd,16,80,160,8.61e+06,2.97e+00,1.99e+00,8.89e+00
weakfwd,32,160,320,8.64e+06,2.97e+00,1.99e+00,8.88e+00
weakfwd,64,320,640,8.70e+06,2.97e+00,1.99e+00,8.88e+00
weakfwd,128,640,1280,8.84e+06,2.98e+00,1.98e+00,8.88e+00
weakfwd,256,1280,2560,9.11e+06,2.98e+00,1.98e+00,8.89e+00
weakfwd,512,2560,5120,9.64e+06,2.99e+00,1.97e+00,8.90e+00
weakbwd,2,10,20,8.58e+06,1.99e+00,2.07e+00,6.09e+00
weakbwd,4,20,40,8.58e+06,1.99e+00,2.02e+00,6.00e+00
weakbwd,8,40,80,8.59e+06,1.99e+00,2.00e+00,5.96e+00
weakbwd,16,80,160,8.61e+06,1.99e+00,1.99e+00,5.94e+00
weakbwd,32,160,320,8.64e+06,1.99e+00,1.98e+00,5.93e+00
weakbwd,64,320,640,8.70e+06,1.99e+00,1.98e+00,5.93e+00
weakbwd,128,640,1280,8.84e+06,1.99e+00,1.98e+00,5.93e+00
weakbwd,256,1280,2560,9.11e+06,2.00e+00,1.97e+00,5.94e+00
weakbwd,512,2560,5120,9.64e+06,2.01e+00,1.96e+00,5.95e+00
